,latitude,longitude,restaurant_name
25431,51.50996,-0.12239,LEON - The Strand
25621,51.50792,-2.5646,Subway
25641,51.50757,-0.221268,LEON â€“ Shepherdâ€™s Bush
25646,51.507507,-0.271781,Subway
25799,51.50528,-0.089722,LEON - Southwark Street
25968,51.50226,-0.092453,Subway
26030,51.50082,-0.097176,Beer + Burger KingsX
26196,51.497375,-0.136553,LEON - Victoria Street
26349,51.49434,-0.17462,LEON - South Kensington
26498,51.492386,-0.062497,Wimpy
26529,51.492058,-0.223878,LEON - Hammersmith
26578,51.491,-0.28127,Burger King
26628,51.48963,-0.22405,McDonald's
26741,51.48665,0.28538,KFC
26849,51.48369,-1.557374,Subway
26971,51.480778,-0.610767,Subway
27067,51.47778,0.32501,Wimpy
27256,51.47109,-2.592972,Subway
27511,51.463444,0.102409,Subway
27665,51.45988,-0.01136,Wimpy
28069,51.452286,-2.596734,Subway
28089,51.451645,-2.58778,Subway
28113,51.45087,0.053923,Wimpy
28135,51.450302,0.289282,Subway
28179,51.448975,-0.937866,Subway
28213,51.44777,-2.14931,McDonald's
28258,51.44581,-0.019872,KFC
28313,51.443653,-0.153443,Subway
28472,51.43839,-2.746889,Subway
28575,51.43358,-0.464829,Wimpy
28586,51.432835,-0.129016,Wimpy
28598,51.43207,-0.545917,Subway
28645,51.42979,-2.544169,Subway
28773,51.4238,-1.036883,Burger King
28798,51.42135,-0.20727,Leon
28843,51.419155,-0.421234,Subway
28902,51.416553,-0.179687,Burger King
28908,51.416264,-0.74831,Subway
28919,51.41571,-2.600358,Subway
29056,51.409653,0.144284,Subway
29183,51.40297,0.016234,McDonald's
29193,51.40271,-0.193925,Wimpy
29335,51.394894,0.496826,Wimpy Strood
29598,51.383327,-0.190104,KFC
29650,51.381634,0.527389,Wimpy
29679,51.380768,-0.072426,KFC
29787,51.376564,-0.101462,Mcdonald's
29829,51.374947,-0.093084,Burger King
29832,51.37489,-0.12769,McDonald's Asda Wallington
29905,51.37197,-0.48661,Wimpy
29948,51.37023,-0.364005,Subway
30004,51.365597,-0.194495,Subway
30078,51.360836,1.431681,Subway
30089,51.36034,-1.14919,Subway
30369,51.341038,0.608111,Burger King
30395,51.33978,-0.1144,KFC
30470,51.3338,-0.265105,Subway
30747,51.30296,-0.329969,Subway
30885,51.284668,-1.059409,Subway
31112,51.270836,0.192545,Subway
31126,51.269672,0.51894,Burger King
31190,51.26389,-1.087222,Wimpy
31256,51.24935,-0.765968,Subway
31283,51.24492,-1.113842,Subway
31287,51.244244,-2.291508,Subway
31553,51.215626,-0.797942,Subway
31629,51.208702,-1.47894,Wimpy
31631,51.208614,-1.48016,Subway
31885,51.163128,0.870039,Subway
31986,51.148083,0.871221,Subway
32052,51.137608,-0.16538,Subway
32075,51.135048,0.87601,Subway Ashford Designer Outlet
32212,51.12509,1.332638,Burger King
32277,51.116177,-0.18757,Wimpy Crawley
32479,51.080135,-4.060047,Wimpy
32573,51.069683,-1.793542,McDonald's Salisbury
32662,51.0633,-0.331488,Wimpy
32671,51.06296,-4.08372,Subway
32676,51.062866,-0.328831,Subway
32847,51.02223,-3.08319,McDonald's TAUNTON - ASDA
32869,51.01862,-4.20598,Subway
32885,51.01745,-3.103601,Subway
33140,50.96758,-1.352278,Subway
33180,50.955845,-0.131157,Subway
33281,50.942043,-2.636705,Subway
33540,50.907402,-1.404912,Subway
33562,50.90443,-1.41659,Subway
33582,50.90342,-3.4861,Subway
34015,50.85196,-1.177959,Subway
34151,50.841568,-1.081938,Subway
34182,50.839546,0.473483,Subway
34359,50.831154,-0.136722,Subway
34387,50.83039,-0.138069,Subway
34476,50.827927,-0.172219,Subway
34619,50.823612,-0.143913,LEON
34824,50.815212,-0.106536,Subway
34850,50.8125,-0.370835,Wimpy Worthing
34937,50.809242,-0.543525,Wimpy
35051,50.799866,-1.104223,Subway
35132,50.795185,-1.119083,Subway
35141,50.794743,-1.066822,Subway
35221,50.78688,0.266733,Subway
35614,50.740707,-3.469682,Subway
35879,50.72439,-3.531473,Subway
36057,50.71686,-3.540073,Subway
36975,50.466576,-3.528974,Subway
37039,50.453613,-4.465339,Subway
37129,50.426147,-4.815462,McDonald's
37291,50.387836,-4.052771,Subway
37375,50.372276,-4.13788,Burger King
37708,50.263683,-5.119631,Subway
37759,50.239723,-5.232029,Subway
