,latitude,longitude,town,cluster,sub_cluster
2637,55.947939,-4.923696,Dunoon,-1,0
2638,56.162295,-3.670092,Dollar,-1,0
2639,56.150058,-3.853344,Menstrie,-1,0
2640,56.15322,-3.739764,Tillicoultry,-1,0
2643,57.411117,-6.194342,Portree,-1,-1
2644,57.331472,-3.606754,Grantown-on-Spey,-1,0
2645,57.81074,-4.055072,Tain,-1,0
2650,55.634863,-4.785377,Saltcoats,-1,0
2651,55.755108,-4.685335,Kilbirnie,-1,0
2655,56.003203,-4.734628,Helensburgh,-1,0
2656,55.837353,-5.053654,Isle of Bute,-1,0
2661,57.719793,-3.281692,Lossiemouth,-1,0
2662,55.750771,-4.932317,Isle of Cumbrae,-1,0
2670,55.840006,-3.047179,Gorebridge,-1,0
2674,56.244764,-4.217906,Callander,-1,0
2676,55.941555,-4.159049,Bishopbriggs,-1,0
2677,57.365504,-2.072471,Ellon,-1,0
2678,55.920329,-4.331492,Bearsden,-1,0
2684,55.893124,-4.625941,Kilmacolm,-1,0
2687,58.554092,-3.919253,Thurso,-1,-1
2689,57.08108,-4.05424,Kingussie,-1,0
2691,56.037521,-5.43451,Lochgilphead,-1,0
2692,55.423347,-5.601061,Campbeltown,-1,-1
2699,55.961035,-4.822045,Gourock,-1,0
2700,56.46542,-4.31862,Killin,-1,0
2702,55.941555,-4.159049,Kirkintilloch,-1,0
2703,57.694098,-2.004717,Fraserburgh,-1,0
2704,57.233457,-2.704014,Alford,-1,0
2705,57.076181,-2.779301,Aboyne,-1,0
2706,57.006574,-3.398185,Ballater,-1,0
2708,56.890858,-4.842144,Roy Bridge,-1,0
2710,56.024809,-3.907994,Denny,-1,0
2715,55.904608,-4.449982,Erskine,-1,0
2717,57.00615,-5.830173,Mallaig,-1,-1
2718,57.191884,-3.834385,Aviemore,-1,0
2721,57.213723,-5.418547,Kyle,-1,-1
2722,56.436161,-4.711599,Crianlarich,-1,0
2723,56.436161,-4.711599,Crianlarich,-1,0
2724,56.020109,-3.723729,Grangemouth,-1,0
2732,57.585289,-3.871088,Auldearn,-1,0
2737,56.567653,-3.58622,Dunkeld,-1,0
2742,55.723995,-2.759726,Lauder,-1,0
2743,56.499293,-2.71015,Carnoustie ,-1,0
2752,57.44771,-2.789727,Huntly,-1,0
2753,57.537266,-2.461509,Turriff,-1,0
2764,58.441343,-3.095738,Caithness,-1,-1
2766,56.46774,-2.873403,Dundee City,-1,0
2770,56.00527,-4.591165,Balloch,-1,0
2771,56.00527,-4.591165,Balloch,-1,0
2773,57.901724,-6.813834,West Tarbert,-1,3
2774,57.471319,-7.371615,Balivanich,-1,3
2778,55.829916,-3.936151,Newhouse,-1,0
2782,55.959353,-4.04293,Croy Park and Ride,-1,0
2788,55.959353,-4.04293,Croy,-1,0
2792,56.437577,-5.798899,"Craignure, Isle of Mull",-1,-1
2793,56.162973,-4.035966,Blair Drummond,-1,0
2799,56.269597,-4.933294,"Clachan, Cairndow",-1,0
2800,57.895328,-5.160003,Ullapool,-1,-1
2801,55.829916,-3.936151,Newhouse ,-1,0
2803,55.969959,-3.185369,"Halbeath, Dunfermline",-1,0
2805,56.066171,-3.717335,Kincardine,-1,0
2806,56.08164,-3.394109,"Halbeath, Dunfermline",-1,0
2814,57.966942,-4.401106,"The Links, Golspie Business Pa",-1,0
2815,55.838624,-4.33519,Glasgow ,-1,0
2822,58.199817,-7.013427,"Uig, Isle of Lewis",-1,3
2823,58.327154,-6.682115,"Shawbost, Isle of Lewis",-1,3
2827,56.517543,-4.767196,Bride of Orchy,-1,0
2830,57.00133,-4.317799,Laggan,-1,-1
2834,56.008278,-2.861536,Aberlady,-1,0
2835,55.960295,-2.606205,Stenton,-1,0
2836,55.993409,-2.552703,West Barns,-1,0
2840,55.928369,-2.662639,Garvald,-1,0
2841,55.902394,-2.741856,Gifford,-1,0
2849,53.945198,-3.057695,Musselburgh,-1,0
2851,55.911674,-2.884612,Pencaitland,-1,0
