,ID,latitude,longitude
339,128880,51.14405,-0.98669
340,129161,51.3073,-0.92448
341,129631,51.76037,-0.5444
342,129998,51.6984,-0.36762
343,130013,51.8257,-0.29689
344,130143,51.67464,-0.41412
345,131853,52.75956,-1.13926
346,133161,52.54169,-0.48339
347,134563,52.07299,-1.40083
348,135079,51.22153,-2.71904
349,137557,50.99731,-0.39066
350,137834,51.48457,-2.0546
351,137916,51.16796,-1.76154
352,138867,52.17614,-0.90042
353,139286,54.51892,-1.32911
354,139508,51.53996,-0.47644
355,139587,57.1432,-2.17437
356,108594,51.53941,-0.16546
357,110391,51.49703,-0.19513
358,112178,51.53621,-0.17545
359,112238,51.5231,-0.14855
360,115690,55.02412,-1.70485
361,119097,54.48325,-1.33536
362,121475,51.55422,-2.55304
363,121624,51.56124,-2.40814
364,122239,52.54841,-0.22029
365,123081,51.56709,-0.73118
366,123217,51.41381,-0.81015
367,124157,51.96241,-0.72726
368,128662,51.7139,-2.23755
369,128760,52.00875,-1.94203
370,128907,50.92469,-1.0245
371,129622,51.78958,-0.61743
372,129832,51.6533,-0.29308
373,134686,51.78863,-1.18712
374,135088,51.2091,-2.67486
375,136475,51.29992,-0.30834
376,136828,51.15716,-0.57101
377,137202,52.15686,-1.76419
378,137583,51.05842,-0.34399
379,138859,52.23218,-0.94091
380,140866,56.05217,-2.72945
381,107840,51.59966,-0.20674
382,108276,51.40841,0.04597
383,108507,51.55366,-0.18463
384,112173,51.45463,-0.23811
385,112236,51.51651,-0.15284
386,112252,51.53442,-0.15751
387,115220,53.34788,-1.49827
388,115224,53.34157,-1.52595
389,119216,53.347,-2.66788
390,121598,51.61842,-2.52396
391,124250,51.68617,-0.62369
392,125140,53.25055,-2.71337
393,127513,50.95478,0.16727
394,128077,51.61995,0.06843
395,128388,52.01712,0.17911
396,128898,51.12472,-1.0733
397,129624,51.77492,-0.52907
398,129640,51.75859,-0.58519
399,129733,51.94359,-0.02106
400,131058,51.15353,0.29431
401,133049,52.58008,1.13032
402,134467,52.96933,-0.86526
403,134646,51.70702,-0.95782
404,137657,50.95838,-0.11336
405,137712,50.95781,-0.16909
406,137846,51.42113,-2.01945
407,138008,51.36207,-2.12099
408,138036,51.32326,-2.18763
409,140584,55.67444,-4.53103
410,141008,55.88771,-3.34833
411,109862,51.57495,0.22319
412,110449,51.50786,-0.20825
413,110536,51.41318,-0.26654
414,112280,51.50808,-0.14735
415,115246,53.3534,-1.59824
416,115730,55.025,-1.52926
417,120718,51.89504,-2.49604
418,122861,51.37218,-1.0225
419,124253,51.7035,-0.70936
420,124266,51.61686,-0.65892
421,124297,51.57022,-0.49817
422,124606,52.18657,-0.17788
423,124734,52.05418,0.05072
424,128684,51.68292,-2.35795
425,128894,50.98682,-0.99882
426,129067,50.89143,-1.26723
427,130078,51.65954,-0.49484
428,130604,51.24303,0.67654
429,131470,53.85092,-2.661
