,latitude,longitude
179,52.12218,-1.74375
180,51.05686,-0.20222
181,54.63475,-1.3585
182,51.54523,-0.77417
183,51.99435,-0.45619
184,52.0665,-0.54956
185,51.5961,-0.5605
186,51.65164,-0.56042
187,51.62195,-0.62942
188,53.33148,-2.19848
189,51.64799,0.06273
190,52.17631,-0.82096
191,51.64506,-1.31281
192,51.30428,-0.58254
193,52.00019,-0.24286
194,52.06797,-0.61636
195,55.84232,-4.11206
196,55.78532,-4.16387
197,51.53425,-0.18457
198,53.36392,-1.33653
199,53.38853,-1.37475
200,51.58863,-0.5403
201,51.01898,-1.44597
202,51.26079,0.18108
203,53.77848,-2.77547
204,52.29302,-0.82864
205,51.67165,-1.49365
206,52.81087,-2.08052
207,51.3561,-0.37758
208,52.30188,-2.08289
209,51.53954,-0.00445
210,55.86379,-3.70492
211,51.47363,-0.18548
212,51.4172,-0.25497
213,51.48293,-2.43243
214,51.40648,0.54253
215,51.63735,-0.57615
216,51.5888,-0.88232
217,51.63116,0.08499
218,51.67054,0.03015
219,51.86684,0.27061
220,51.59322,-1.24195
221,51.33855,-0.36804
222,51.38491,-0.35535
223,51.19161,-0.44038
224,55.98118,-3.37318
225,55.8693,-3.09695
226,51.5923,-3.06054
227,51.34018,-0.13452
228,51.36391,-0.85019
229,51.8359,-0.61701
230,53.01876,-2.42812
231,51.76231,-2.29497
232,51.73649,-1.31613
233,51.34291,-0.405
234,51.28164,-0.34771
235,51.34664,-0.21063
236,56.07316,-3.41196
237,55.79988,-3.94128
238,51.61511,-0.23994
239,51.6207,-0.24732
240,54.86166,-1.50277
241,52.65669,-2.48478
242,51.42613,-2.6469
243,51.43057,-1.27198
244,51.74172,-0.66603
245,51.54198,-0.68239
246,51.68104,-0.83666
247,51.77361,0.47203
248,51.75804,0.4958
249,51.91123,0.89425
250,51.67419,0.17519
251,50.81656,-1.60899
252,51.20183,0.18731
253,53.70902,-2.70677
254,52.75164,-1.4635
255,52.31231,-1.96427
256,51.27682,0.40643
257,51.58978,-0.24528
258,51.31029,-0.15
259,51.6226,-0.30026
260,51.52308,-0.18064
261,53.32902,-1.55547
262,52.67145,-2.48498
263,51.46265,-2.65803
264,51.51759,-0.70792
265,51.57282,-0.56074
266,50.91856,-0.10566
267,51.67101,-1.92854
268,51.81614,-0.36826
269,51.45775,0.22682
270,53.79998,-2.76541
271,52.68739,-1.5153
272,51.57321,-1.46901
273,52.20032,-1.67144
274,55.06593,-1.79087
275,55.75603,-4.07294
276,51.48469,-3.3546
277,51.53257,-3.13113
278,51.41935,0.04736
279,51.50414,-0.19835
280,51.50092,-0.19805
281,51.4796,-0.24427
282,51.44746,-0.07892
283,52.6842,-2.47458
284,51.53344,-2.58869
285,50.70728,-1.9405
286,51.4924,-1.13583
287,51.99135,-0.98082
288,51.56725,-0.79302
289,52.26029,-0.14361
290,53.17587,-2.86389
291,50.70488,-3.49438
292,51.83328,-2.1971
293,51.10287,-1.0542
294,51.0936,-1.37518
295,52.60342,-1.21619
296,55.11007,-1.72337
297,51.70885,-1.29082
298,51.36096,-0.32651
299,51.32575,-0.36605
300,51.30331,-0.06493
301,51.1714,-0.50133
302,52.25295,-2.15107
303,51.42693,-0.72086
304,52.00476,-0.80636
305,52.66428,1.18302
306,56.48074,-3.06786
307,56.05195,-3.77421
308,53.39754,-2.62836
309,51.46949,-0.64648
310,52.09862,-0.41959
311,51.71246,-0.66327
312,52.22693,0.0872
313,53.29205,-2.05659
314,51.29918,-0.97025
315,51.83499,-0.09604
316,51.64375,-0.48812
317,51.716,-0.12813
318,53.85,-2.43204
319,52.44052,-1.17178
320,53.33286,-1.14231
321,51.34553,-0.63382
322,51.26251,0.00749
323,54.61768,-1.353
324,52.05192,-0.70609
325,55.88735,-4.0919
326,55.98874,-4.00549
327,51.40231,0.05374
328,51.36904,-0.07299
329,51.58362,-0.15894
330,52.41834,-1.6961
331,51.45825,-0.87616
332,52.08156,-0.24632
333,51.60975,-0.65549
334,52.07563,-0.12062
335,53.15647,-2.2585
336,53.28654,-2.16114
337,52.90334,-1.57877
338,50.83224,-1.84998
339,51.14405,-0.98669
340,51.3073,-0.92448
341,51.76037,-0.5444
342,51.6984,-0.36762
343,51.8257,-0.29689
344,51.67464,-0.41412
345,52.75956,-1.13926
346,52.54169,-0.48339
347,52.07299,-1.40083
348,51.22153,-2.71904
349,50.99731,-0.39066
350,51.48457,-2.0546
351,51.16796,-1.76154
352,52.17614,-0.90042
353,54.51892,-1.32911
354,51.53996,-0.47644
355,57.1432,-2.17437
356,51.53941,-0.16546
357,51.49703,-0.19513
358,51.53621,-0.17545
359,51.5231,-0.14855
360,55.02412,-1.70485
361,54.48325,-1.33536
362,51.55422,-2.55304
363,51.56124,-2.40814
364,52.54841,-0.22029
365,51.56709,-0.73118
366,51.41381,-0.81015
367,51.96241,-0.72726
368,51.7139,-2.23755
369,52.00875,-1.94203
370,50.92469,-1.0245
371,51.78958,-0.61743
372,51.6533,-0.29308
373,51.78863,-1.18712
374,51.2091,-2.67486
375,51.29992,-0.30834
376,51.15716,-0.57101
377,52.15686,-1.76419
378,51.05842,-0.34399
379,52.23218,-0.94091
380,56.05217,-2.72945
381,51.59966,-0.20674
382,51.40841,0.04597
383,51.55366,-0.18463
384,51.45463,-0.23811
385,51.51651,-0.15284
386,51.53442,-0.15751
387,53.34788,-1.49827
388,53.34157,-1.52595
389,53.347,-2.66788
390,51.61842,-2.52396
391,51.68617,-0.62369
392,53.25055,-2.71337
393,50.95478,0.16727
394,51.61995,0.06843
395,52.01712,0.17911
396,51.12472,-1.0733
397,51.77492,-0.52907
398,51.75859,-0.58519
399,51.94359,-0.02106
400,51.15353,0.29431
401,52.58008,1.13032
402,52.96933,-0.86526
403,51.70702,-0.95782
404,50.95838,-0.11336
405,50.95781,-0.16909
406,51.42113,-2.01945
407,51.36207,-2.12099
408,51.32326,-2.18763
